arrest_date,time,area_name,age,sex,descent,charge_group,charge_desc,arrest_type,rep_dist,latitude,longitude,year,month,day,age_group
2019-04-01,05:05 PM,Van Nuys,17,Male,Hispanic,Drunkeness,"DISORD CONDUCT:UI/DRUG, ALCOHOL",Misdemeanor,929,34.1903,-118.4257,2019,Apr,Mon,15-20
2019-05-16,11:30 PM,Hollywood,20,Male,White,Drunkeness,DRINKING IN PUBLIC***,Misdemeanor,645,34.1016,-118.3387,2019,May,Thu,15-20
2019-04-15,10:30 PM,Olympic,18,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC***,Misdemeanor,2079,34.0463,-118.2885,2019,Apr,Mon,15-20
2019-05-25,10:50 PM,Hollywood,20,Male,Black,Drunkeness,DRINKING IN PUBLIC***,Misdemeanor,646,34.1016,-118.3288,2019,May,Sat,15-20
2019-05-11,07:20 PM,Hollenbeck,17,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC***,Misdemeanor,437,34.0689,-118.1878,2019,May,Sat,15-20
2019-05-20,01:50 PM,West Valley,18,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC***,Misdemeanor,1026,34.1902,-118.5448,2019,May,Mon,15-20
2019-05-31,10:45 PM,Devonshire,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,1756,34.2575,-118.5023,2019,May,Fri,15-20
2019-05-31,10:45 PM,Devonshire,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,1745,34.2611,-118.5158,2019,May,Fri,15-20
2019-05-31,10:45 PM,Devonshire,20,Female,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,1745,34.2611,-118.5158,2019,May,Fri,15-20
2019-06-06,07:30 PM,Olympic,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC***,Misdemeanor,2079,34.0463,-118.2864,2019,Jun,Thu,15-20
2019-04-04,05:00 PM,Olympic,19,Female,Hispanic,Drunkeness,DRINKING IN PUBLIC***,Misdemeanor,2029,34.0618,-118.2899,2019,Apr,Thu,15-20
2019-06-06,07:35 PM,Olympic,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC***,Misdemeanor,2079,34.0463,-118.2864,2019,Jun,Thu,15-20
