arrest_date,time,area_name,age,sex,descent,charge_group,charge_desc,arrest_type,rep_dist,latitude,longitude,year,month,day,age_group
2019-11-16,12:05 AM,N Hollywood,19,Male,Hispanic,Driving Under Influence,DUI ALCOHOL CAUSING INJURY,Felony,1527,34.1795,-118.3731,2019,Nov,Sat,15-20
2019-11-18,12:55 AM,Pacific,20,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1494,33.9314,-118.416,2019,Nov,Mon,15-20
2019-11-21,01:59 AM,Hollywood,20,Female,White,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,648,34.1,-118.3113,2019,Nov,Thu,15-20
2019-11-18,03:30 AM,Southeast,18,Male,Hispanic,Driving Under Influence,DUI ALCOHOL CAUSING INJURY,Felony,1871,33.9019,-118.2827,2019,Nov,Mon,15-20
2019-11-21,12:25 AM,N Hollywood,19,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1567,34.1459,-118.3631,2019,Nov,Thu,15-20
2019-11-20,02:10 AM,Hollywood,19,Female,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,645,34.0944,-118.3386,2019,Nov,Wed,15-20
2019-11-21,12:40 AM,Mission,19,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1962,34.2428,-118.4675,2019,Nov,Thu,15-20
2019-11-15,08:30 PM,Devonshire,19,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1752,34.2573,-118.5929,2019,Nov,Fri,15-20
2019-03-16,11:50 AM,Newton,19,Male,Hispanic,Driving Under Influence,DUI ALCOHOL CAUSING INJURY,Felony,1353,34.0039,-118.2565,2019,Mar,Sat,15-20
2019-04-18,10:52 PM,77th Street,17,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1253,33.9746,-118.3057,2019,Apr,Thu,15-20
2019-04-20,07:30 PM,Hollywood,17,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,647,34.1017,-118.3224,2019,Apr,Sat,15-20
2019-04-27,12:25 AM,Olympic,19,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,2024,34.0635,-118.3091,2019,Apr,Sat,15-20
2019-04-27,07:45 PM,Southeast,18,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1824,33.947,-118.2594,2019,Apr,Sat,15-20
2019-05-04,12:50 AM,Central,20,Male,White,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,162,34.0462,-118.2628,2019,May,Sat,15-20
2019-05-02,08:50 PM,77th Street,20,Female,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1265,33.96,-118.2959,2019,May,Thu,15-20
2019-05-01,09:30 PM,Central,20,Male,Black,Driving Under Influence,DRUNK DRIVING .10 OR ABOVE,Misdemeanor,185,34.0364,-118.2603,2019,May,Wed,15-20
2019-05-04,02:00 AM,Central,20,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,162,34.0462,-118.2628,2019,May,Sat,15-20
2019-05-03,10:02 PM,N Hollywood,19,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1523,34.1867,-118.4094,2019,May,Fri,15-20
2019-05-02,07:05 PM,77th Street,19,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1265,33.9655,-118.3003,2019,May,Thu,15-20
2019-05-03,11:10 PM,Foothill,19,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1601,34.2831,-118.4187,2019,May,Fri,15-20
2019-05-05,02:25 AM,Newton,20,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1371,33.9924,-118.2772,2019,May,Sun,15-20
2019-05-04,12:02 AM,Central,18,Male,Hispanic,Driving Under Influence,MINOR DRIVE W/BLOOD ALCOHOL OF 0.05%+,Misdemeanor,185,34.0391,-118.2581,2019,May,Sat,15-20
2019-05-04,09:10 PM,Olympic,20,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,2045,34.0561,-118.2981,2019,May,Sat,15-20
2019-05-05,01:30 AM,Newton,19,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1372,33.9924,-118.2739,2019,May,Sun,15-20
2019-05-04,02:39 AM,Northeast,19,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1176,34.0904,-118.2345,2019,May,Sat,15-20
2019-05-11,02:34 AM,Central,20,Male,Chinese,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,129,34.0511,-118.2336,2019,May,Sat,15-20
