arrest_date,time,area_name,age,sex,descent,charge_group,charge_desc,arrest_type,rep_dist,latitude,longitude,year,month,day,age_group
2019-11-14,11:40 PM,Hollywood,20,Male,Hispanic,Liquor Laws,CONSUME/PURCHASE ALCOHOLIC BEV BY MINOR,Misdemeanor,636,34.1034,-118.3325,2019,Nov,Thu,15-20
2019-11-07,07:05 PM,Hollenbeck,19,Male,Hispanic,Liquor Laws,SALE/ETC OF ALCOHOLIC BEVERAGE TO MINOR,Misdemeanor,499,34.0188,-118.201,2019,Nov,Thu,15-20
2019-11-14,11:55 PM,Hollywood,19,Female,White,Liquor Laws,CONSUME/PURCHASE ALCOHOLIC BEV BY MINOR,Misdemeanor,636,34.1034,-118.3325,2019,Nov,Thu,15-20
2019-11-08,08:50 PM,Northeast,17,Male,Hispanic,Liquor Laws,MINOR IN POSSESSION OF ALCOHOLIC BEVERAGE,Misdemeanor,1189,34.0879,-118.2127,2019,Nov,Fri,15-20
2019-11-14,11:25 PM,Hollywood,18,Female,Hispanic,Liquor Laws,CONSUME/PURCHASE ALCOHOLIC BEV BY MINOR,Misdemeanor,636,34.1034,-118.3325,2019,Nov,Thu,15-20
2019-04-22,04:55 PM,Rampart,20,Male,Hispanic,Liquor Laws,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,Infraction,245,34.0601,-118.2761,2019,Apr,Mon,15-20
2019-04-16,09:45 PM,Mission,18,Male,Hispanic,Liquor Laws,MINOR POSSESS ALCOHOL,Misdemeanor,1971,34.2338,-118.472,2019,Apr,Tue,15-20
2019-05-03,06:30 PM,Olympic,18,Male,Hispanic,Liquor Laws,SALE/ETC OF ALCOHOLIC BEVERAGE TO MINOR,Misdemeanor,2055,34.0526,-118.2979,2019,May,Fri,15-20
2019-05-01,10:00 AM,Olympic,18,Male,Hispanic,Liquor Laws,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,Misdemeanor,2053,34.0527,-118.3091,2019,May,Wed,15-20
2019-05-08,07:00 PM,Northeast,18,Male,Hispanic,Liquor Laws,MINOR IN POSSESSION OF ALCOHOLIC BEVERAGE,Misdemeanor,1138,34.1141,-118.1861,2019,May,Wed,15-20
2019-05-09,05:55 PM,Harbor,16,Female,Hispanic,Liquor Laws,MINOR IN POSSESSION OF ALCOHOLIC BEVERAGE,Misdemeanor,584,33.707,-118.2939,2019,May,Thu,15-20
2019-05-09,06:00 PM,Harbor,16,Male,Hispanic,Liquor Laws,MINOR IN POSSESSION OF ALCOHOLIC BEVERAGE,Misdemeanor,584,33.707,-118.2939,2019,May,Thu,15-20
2019-05-16,04:50 PM,Rampart,16,Male,White,Liquor Laws,MINOR POSSESS ALCOHOL,Misdemeanor,245,34.0601,-118.2761,2019,May,Thu,15-20
2019-05-09,06:00 PM,Harbor,17,Male,Hispanic,Liquor Laws,MINOR IN POSSESSION OF ALCOHOLIC BEVERAGE,Misdemeanor,584,33.707,-118.2939,2019,May,Thu,15-20
2019-05-09,05:55 PM,Harbor,14,Female,Hispanic,Liquor Laws,MINOR IN POSSESSION OF ALCOHOLIC BEVERAGE,Misdemeanor,584,33.707,-118.2939,2019,May,Thu,10-14
2019-05-08,03:15 PM,Rampart,20,Male,Hispanic,Liquor Laws,DRINKING ALCOHOL*******,Infraction,295,34.0446,-118.2769,2019,May,Wed,15-20
2019-05-09,06:00 PM,Harbor,16,Male,Hispanic,Liquor Laws,MINOR IN POSSESSION OF ALCOHOLIC BEVERAGE,Misdemeanor,584,33.707,-118.2939,2019,May,Thu,15-20
2019-05-09,05:55 PM,Harbor,16,Female,Hispanic,Liquor Laws,MINOR IN POSSESSION OF ALCOHOLIC BEVERAGE,Misdemeanor,584,33.707,-118.2939,2019,May,Thu,15-20
2019-05-09,06:00 PM,Harbor,15,Male,Hispanic,Liquor Laws,MINOR IN POSSESSION OF ALCOHOLIC BEVERAGE,Misdemeanor,584,33.707,-118.2939,2019,May,Thu,15-20
2019-05-08,07:00 PM,Northeast,17,Male,Hispanic,Liquor Laws,MINOR IN POSSESSION OF ALCOHOLIC BEVERAGE,Misdemeanor,1138,34.1141,-118.1861,2019,May,Wed,15-20
2019-05-19,03:45 PM,Rampart,18,Male,Hispanic,Liquor Laws,DRINKING ALCOHOL,Infraction,245,34.0601,-118.2761,2019,May,Sun,15-20
2019-05-19,05:55 PM,Hollenbeck,17,Male,Hispanic,Liquor Laws,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,Infraction,477,34.0364,-118.2144,2019,May,Sun,15-20
2019-06-02,03:50 AM,Central,19,Male,Hispanic,Liquor Laws,DRINKING ALCOHOL*******,Infraction,101,34.0668,-118.2497,2019,Jun,Sun,15-20
2019-06-04,06:40 PM,Hollywood,18,Male,White,Liquor Laws,SELL LIQUOR W/O LICENSE,Misdemeanor,635,34.11,-118.3361,2019,Jun,Tue,15-20
2019-06-09,05:15 PM,Pacific,18,Male,Hispanic,Liquor Laws,DRINKING ALCOHOL,Infraction,1431,33.9875,-118.4741,2019,Jun,Sun,15-20
2019-04-04,05:00 PM,Olympic,16,Female,Hispanic,Liquor Laws,SELL/LET MINOR CONSUME ALCOHOL,Misdemeanor,2029,34.0618,-118.2899,2019,Apr,Thu,15-20
2019-06-12,12:50 AM,Topanga,18,Female,Hispanic,Liquor Laws,MINOR IN POSSESSION OF ALCOHOLIC BEVERAGE,Misdemeanor,2139,34.2044,-118.5738,2019,Jun,Wed,15-20
2019-06-12,12:50 AM,Topanga,18,Female,Hispanic,Liquor Laws,MINOR IN POSSESSION OF ALCOHOLIC BEVERAGE,Misdemeanor,2139,34.2044,-118.5738,2019,Jun,Wed,15-20
